source,label,date
Coalition to Stop the Proposed Tax Hike Amendment,3.0,2020-10-04
Facebook posts,0.0,2020-10-04
Jason MIller,1.0,2020-10-04
Phil Scott,5.0,2020-10-04
Facebook posts,1.0,2020-10-04
John Cornyn,3.0,2020-10-03
David Zuckerman,2.0,2020-10-03
Viral image,0.0,2020-10-02
Donald Trump,2.0,2020-10-02
DeAnna Lorraine,1.0,2020-10-02
Facebook posts,1.0,2020-10-02
Facebook posts,3.0,2020-10-02
Viral image,3.0,2020-10-02
Facebook posts,1.0,2020-10-02
Tweets,0.0,2020-10-02
Viral image,0.0,2020-10-02
Facebook posts,0.0,2020-10-02
Joe Biden,3.0,2020-10-02
Joe Biden,4.0,2020-10-01
Donald Trump,3.0,2020-10-01
Joe Biden,4.0,2020-10-01
Donald Trump,0.0,2020-10-01
Brit Hume,1.0,2020-10-01
Donald Trump,1.0,2020-10-01
Joe Biden,3.0,2020-10-01
Donald Trump,1.0,2020-10-01
Donald Trump,4.0,2020-10-01
Facebook posts,2.0,2020-10-01
Facebook posts,0.0,2020-09-30
Hugh Hewitt,2.0,2020-09-30
Donald Trump,1.0,2020-09-30
Donald Trump,1.0,2020-09-30
Facebook posts,1.0,2020-09-30
Debbie Mucarsel-Powell,3.0,2020-09-30
Peggy Hubbard,2.0,2020-09-30
Viral image,2.0,2020-09-30
Facebook posts,0.0,2020-09-30
Joe Biden,2.0,2020-09-30
Donald Trump,1.0,2020-09-30
Todd Starnes,0.0,2020-09-30
Facebook posts,0.0,2020-09-30
Kelley Dragoo,2.0,2020-09-29
Anthony Rogers,1.0,2020-09-29
Viral image,0.0,2020-09-29
MacIver Institute,0.0,2020-09-29
Facebook posts,1.0,2020-09-29
Facebook posts,1.0,2020-09-29
Joe Biden,3.0,2020-09-29
Molly Gray,1.0,2020-09-29
Facebook posts,1.0,2020-09-28
Facebook posts,1.0,2020-09-28
Viral image,1.0,2020-09-28
Viral image,4.0,2020-09-28
Donald Trump,1.0,2020-09-28
Joe Biden,4.0,2020-09-28
Fred Upton,1.0,2020-09-28
Instagram posts,3.0,2020-09-28
Republican Party of Wisconsin,2.0,2020-09-28
Richard Durbin,1.0,2020-09-27
Instagram posts,1.0,2020-09-27
Facebook posts,1.0,2020-09-27
Facebook posts,3.0,2020-09-25
Dinesh D'Souza,1.0,2020-09-25
Viral image,1.0,2020-09-25
Facebook posts,1.0,2020-09-25
No on Prop 15,1.0,2020-09-25
Michigan Democratic Party,4.0,2020-09-25
Facebook posts,1.0,2020-09-25
Susan Collins,1.0,2020-09-25
Bloggers,1.0,2020-09-25
Michael Burgess,5.0,2020-09-25
Facebook posts,1.0,2020-09-25
Chris Larson,5.0,2020-09-25
Donald Trump,1.0,2020-09-25
Facebook posts,2.0,2020-09-24
Donald Trump,2.0,2020-09-24
Congressional Leadership Fund,2.0,2020-09-24
Kamala Harris,2.0,2020-09-24
Senate Majority PAC,2.0,2020-09-24
Joe Biden,3.0,2020-09-24
Cal Cunningham,3.0,2020-09-24
Bloggers,1.0,2020-09-23
Instagram posts,3.0,2020-09-23
Viral image,1.0,2020-09-23
Viral image,1.0,2020-09-23
Facebook posts,1.0,2020-09-23
Facebook posts,2.0,2020-09-23
Instagram posts,0.0,2020-09-23
Joe Biden,3.0,2020-09-23
Viral image,1.0,2020-09-23
Donald Trump,2.0,2020-09-22
Tweets,1.0,2020-09-22
Tammy Baldwin,,2020-09-22
Ron Johnson,,2020-09-22
William Barr,1.0,2020-09-22
Facebook posts,1.0,2020-09-22
Facebook posts,1.0,2020-09-22
Bob Good,1.0,2020-09-22
William Barr,1.0,2020-09-22
Viral image,1.0,2020-09-22
Joe Biden,1.0,2020-09-22
Mitch McConnell,,2020-09-22
Charles Schumer,,2020-09-22
Brian Kolfage,1.0,2020-09-22
Viral image,1.0,2020-09-21
Facebook posts,1.0,2020-09-21
Viral image,0.0,2020-09-21
Facebook posts,2.0,2020-09-21
Lindsey Graham,,2020-09-21
Viral image,1.0,2020-09-21
NumbersUSA,3.0,2020-09-21
Paul Junge,2.0,2020-09-21
Joe Biden,1.0,2020-09-21
Viral image,1.0,2020-09-21
Facebook posts,1.0,2020-09-21
Facebook posts,1.0,2020-09-20
Instagram posts,0.0,2020-09-20
Joe Biden,1.0,2020-09-18
Viral image,2.0,2020-09-18
Democratic Congressional Campaign Committee,2.0,2020-09-18
Facebook posts,1.0,2020-09-18
Viral image,1.0,2020-09-18
Facebook posts,0.0,2020-09-18
Joe Biden,0.0,2020-09-18
YouTube videos,1.0,2020-09-18
Viral image,1.0,2020-09-18
Cory Gardner,1.0,2020-09-18
Facebook posts,1.0,2020-09-18
Instagram posts,1.0,2020-09-18
Caleb Rowden,5.0,2020-09-18
Facebook posts,1.0,2020-09-18
Viral image,1.0,2020-09-18
Facebook posts,2.0,2020-09-18
Facebook posts,4.0,2020-09-17
Facebook posts,3.0,2020-09-17
Facebook posts,1.0,2020-09-17
Facebook posts,1.0,2020-09-17
Joe Biden,5.0,2020-09-17
Michael Caputo,1.0,2020-09-17
Li-Meng Yan,0.0,2020-09-16
Viral image,1.0,2020-09-16
Tweets,1.0,2020-09-16
Facebook posts,1.0,2020-09-16
Mun Choi,1.0,2020-09-16
Facebook posts,1.0,2020-09-16
Josh Hawley,4.0,2020-09-16
Tony Evers,4.0,2020-09-16
Instagram posts,1.0,2020-09-16
Donald Trump,0.0,2020-09-16
Viral image,1.0,2020-09-15
Facebook posts,2.0,2020-09-15
Facebook posts,1.0,2020-09-15
Instagram posts,1.0,2020-09-15
Facebook posts,1.0,2020-09-15
Facebook posts,1.0,2020-09-14
Dan Forest,2.0,2020-09-14
Facebook posts,1.0,2020-09-14
Facebook posts,1.0,2020-09-14
Facebook posts,3.0,2020-09-14
Mark Kelly,4.0,2020-09-14
Lucy McBath,3.0,2020-09-14
Karen Handel,1.0,2020-09-14
Facebook posts,1.0,2020-09-14
Joe Biden,3.0,2020-09-14
Viral image,0.0,2020-09-14
Viral image,1.0,2020-09-14
Facebook posts,1.0,2020-09-13
Facebook posts,1.0,2020-09-13
Viral image,1.0,2020-09-11
Facebook posts,1.0,2020-09-11
Facebook posts,1.0,2020-09-11
Facebook posts,0.0,2020-09-11
Donald Trump,1.0,2020-09-11
Paul Romero,1.0,2020-09-11
Donald Trump,0.0,2020-09-11
Joe Biden,3.0,2020-09-11
Donald Trump,0.0,2020-09-11
Facebook posts,1.0,2020-09-10
Instagram posts,0.0,2020-09-10
Joe Biden,1.0,2020-09-10
Joe Biden,2.0,2020-09-10
Facebook posts,0.0,2020-09-10
Scott Perry,1.0,2020-09-10
Facebook posts,1.0,2020-09-10
Facebook posts,1.0,2020-09-10
Facebook posts,0.0,2020-09-10
Donald Trump,2.0,2020-09-10
Facebook posts,1.0,2020-09-10
Nick Freitas,5.0,2020-09-09
Viral image,1.0,2020-09-09
Donald Trump,3.0,2020-09-09
Kayleigh McEnany,0.0,2020-09-09
Facebook posts,1.0,2020-09-09
Viral image,1.0,2020-09-09
Facebook posts,1.0,2020-09-09
Facebook posts,1.0,2020-09-08
Facebook posts,1.0,2020-09-08
Instagram posts,1.0,2020-09-08
Ron Johnson,4.0,2020-09-08
Facebook posts,0.0,2020-09-08
Facebook posts,2.0,2020-09-08
Darin LaHood,0.0,2020-09-06
Joe Biden,2.0,2020-09-04
Bloggers,1.0,2020-09-04
YouTube videos,1.0,2020-09-04
Donald Trump,0.0,2020-09-04
Facebook posts,1.0,2020-09-04
Joe Biden,2.0,2020-09-04
Doug Collins,2.0,2020-09-04
Donald Trump Jr.,1.0,2020-09-04
Viral image,1.0,2020-09-04
Debbie Mucarsel-Powell,3.0,2020-09-04
Joe Biden,1.0,2020-09-04
Viral image,0.0,2020-09-04
Viral image,1.0,2020-09-04
Donald Trump,1.0,2020-09-03
Donald Trump,0.0,2020-09-03
Joe Biden,3.0,2020-09-03
Democratic Congressional Campaign Committee,5.0,2020-09-03
Roy Cooper,2.0,2020-09-03
David Perdue,1.0,2020-09-03
Facebook posts,1.0,2020-09-02
Facebook posts,0.0,2020-09-02
